Country,Curency,Exchange_to_eur,Family_of_4_monthly_costs,Single_person_monthly_costs,Meal_Inexpensive_Restaurant,Meal_for_2_People_3course,McMeal_at_McDonalds,Domestic_Beer,Imported_Beer,Cappuccino,Coke,Water,Milk_1l,Loaf_of_bread,Rice_1kg,Eggs_12,Local_Cheese_1kg,Chicken_Fillets_1kg,Beef_Round_1kg,Apples_1kg,Banana_1kg,Oranges_1kg,Tomato_1kg,Potato_1kg,Onion_1kg,Lettuce,Water_bottle,Bottle_of_Wine,Domestic_Beer,Cigarettes_20_Pack,One_way_Ticket_Local_Transport,Monthly_Pass,Taxi_Start,Taxi_1km,Taxi_1hour_Waiting,Gasoline_1l,VW_Golf_1p4,Toyota_Corolla_Sedan_1.6l,Basic_bills_for85m2_Apartment,Prepaid_mobile_1min,Internet,Fitness_Club_1_Adult,Tennis_Court_Rent,Cinema,Preschool_for_1_Child,International_Primary_School_Yearly_1_Child,Jeans,Summer_Dress,Running_Shoes,1_Men_Leather_Business_Shoes,Apartment_1_bed_CityCentre,Apartment_1_bed_OutsideCentre,Apartment_3_bed_CityCentre,Apartment_3_bed_OutsideCentre,For_1m2_to_Buy_apartment_CityCentre,For_1m2_to_Buy_Apartment_OutsideCentre,Average_Monthly_Net_Salary,Mortgage_Interest_Rate_%
Poland,zł,0.21,8021.85,2421.69,30,150,25,10,4.94,10.72,5.56,4.78,2.79,3.61,3.99,9.98,25.55,17.73,36.19,3.64,4.9,5.54,10.26,2.59,3.13,3.68,2.06,25,3.44,18,4,100,8,2.5,40,6.05,78600,92010.41,866.85,0.25,56.15,117.9,59.72,25,1153.64,22618.54,295.01,141.48,287.12,323.1,2294.49,1931.65,3582.94,2921.11,14345.09,10333.29,4466.5,4.52
Portugal,€,1,1881.2,538.18,8,35,6.5,2,1.71,1.39,1.31,0.95,0.63,1.04,0.93,1.74,6.76,4.94,8.73,1.55,1.09,1.22,1.49,0.91,1.04,0.93,0.49,4,1.03,5,1.6,40,3.25,0.7,15,2.03,25000,26804.81,109.33,0.15,33.36,32.54,10.58,7,338.88,7113.79,74.15,29.06,66.81,73.74,689.5,541.7,1279.55,929.72,2917.52,2014.97,939.31,2.11
Romania,lei,0.2,8138.37,2339.2,30,150,25,8,5.93,8.92,6.02,5.47,5.42,3.77,5.96,11.12,27.8,21.9,37.14,4.2,5.64,5.49,7.9,2.52,2.77,2.93,2.58,25,3.79,22,2.5,80,2.7,2.5,25,7.98,80000,93510.62,557.36,0.25,38.62,174.32,65.59,30,1716.23,26569.73,279.56,161.31,327.63,371.96,1709.22,1220.93,2938.08,2029.25,8860.14,6140.42,3425.34,5.81
Serbia,Дин,0.0085,178404.9,52727.9,700,3000,600,200,115.68,160.03,142.35,99.17,96.88,52.9,141.56,187.85,581.86,577.86,809.85,92.06,126.99,124.27,137.99,70.46,53.54,51.42,54.06,500,75.38,360,90,3200,170,70,500,166.3,2500000,2161728.92,14943.77,11.36,2233.48,2855.47,875.66,500,20181.92,546480.31,6077.84,3158.04,8936.56,8895.58,29621.83,20463.49,51493,34883.13,213963.39,137668.27,61242.45,3.9
Slovakia,€,1,1940.81,569.86,6,30,6,1.5,1.27,2.01,1.45,1.19,0.74,0.88,1.26,2.15,8.17,5.39,10.68,1.41,1.52,1.65,3.11,0.83,0.78,1.02,0.6,4.5,0.8,4.1,0.8,25,2.8,1,10.2,1.44,18000,18214.29,170.54,0.05,16.83,29.4,11.09,7,376.95,7000,53.31,30.2,62.81,72.34,468.93,377.65,741.24,594.03,2282.31,1781.68,913.44,1.37
Slovenia,€,1,2203.98,652.76,9,35,6,2.5,1.68,1.54,2.01,1.42,0.96,1.24,1.61,2.34,11.05,7.24,9.38,1.66,1.31,1.59,2.39,0.91,1.05,1.28,0.66,5,1.09,4.4,1.3,30,1.5,1,18,1.38,20000,18908.28,202.82,0.09,33.94,39.17,14.66,6.6,378.53,8337.5,67.41,30.62,71.48,85.43,473.52,382.84,861.25,671.72,3006.33,2203.8,1140,2.53
Spain,€,1,2191.86,620.46,11,45,8,2.5,1.56,1.65,1.78,1.19,0.79,1.01,1.14,1.93,10.08,6.01,10.38,1.74,1.59,1.44,1.64,1.14,1.22,0.94,0.64,5,0.88,5,1.4,40,3.5,1.06,20,1.5,21000,21557.42,118.21,0.16,37.53,37.1,11.34,8,358.3,7036.27,72.67,28.7,67.75,85.69,755.74,599.76,1313.76,928.78,2975.96,1859.12,1614.18,2.29
Sweden,kr,0.096,32083.59,8650.27,101,800,85,70,19.2,38.63,19.72,17.58,11.7,23.17,24.73,29.64,84.74,88.16,159.55,26.95,22.01,24.68,31.95,12.31,11.97,19.44,15.21,95,17.08,67,34,900,52,20,539.5,19.85,235000,225244.97,817.49,1.18,302.18,350.3,233.88,130,1366.76,14087.22,836.41,347.28,868.3,1200.82,8840.18,6584.95,14220.34,10034.25,61479.94,37465.23,27317.11,2.15
Switzerland,Fr.,0.96,5282.53,1435.61,25,100,15,6,2.38,4.7,4.12,3.7,1.63,2.99,2.71,5.81,23.9,24.35,47.83,3.81,2.78,3.14,4.07,2.5,2.37,2.21,1.17,13,2.03,8.6,3.5,80,6.5,3.8,69,1.8,29550,31544.25,204.24,0.22,54.17,76.82,35.21,18,2286.3,26410.34,103.15,47.54,112.04,148,1655.39,1279.61,3006.53,2277.66,11542.83,8202.89,5768.61,1.43
United+Kingdom,£,1.18,2287.81,658.95,13,50,6,4,2,2.82,1.39,1,0.93,0.98,1.32,1.95,5.63,5.43,8.23,1.83,1.08,1.72,1.9,1.06,0.97,0.7,0.96,7,1.78,11.8,2.5,65,3,1.24,17.4,1.53,20185,21271.6,162.44,0.11,30.44,30.81,10.32,10,957.3,12972.43,59.76,29.58,63.03,62.44,917.77,651.48,1599.11,1159.3,4018.57,3064.05,2282.85,3.08
